
All text in the game is loaded from here.  Make sure the 
translated text is in quotes and that no one string is
larger than 255 characters.

__BEGIN__

UnitAntSoldier			"Soldier"
UnitAntGrenadier		"Grenadier"
UnitAntBazooka			"Bazooka"
UnitAnt				"Ant Unit"
UnitBeetleLadyBug		"Lady Bug"
UnitBeetleShrapnel		"Shrapnel"
UnitBeetleCannon		"Cannon"
UnitBeetle			"Beetle Unit"
UnitScorpionSavage		"Savage"
UnitScorpionSpearGun		"Spear Gun"
UnitScorpionNinja		"Ninja"
UnitScorpion			"Scorpion Unit"
UnitSpiderBlackWidow		"Black Widow"
UnitSpiderSniper		"Sniper"
UnitSpiderMissile		"Missile"
UnitSpider			"Spider Unit"
UnitWaspAssault			"Assault"
UnitWaspParalysis		"Paralysis"
UnitWaspSonic			"Sonic"
UnitWasp			"Wasp Unit"
UnitNeutralBullAnt		"Bull Ant"
UnitNeutralGrenadier		"Grenadier"
UnitNeutralDragonfly		"Dragonfly"
UnitNeutralFly			"Desert Fly"
UnitNeutralFlyingMachine	"Flying Machine"
UnitNeutralFreckle		"Choc Freckle"
UnitNeutralLolly		"Death Lolly"
UnitNeutralMoth			"Spawn Moth"
UnitNeutralPopcorn		"Popcorn Plant"
UnitNeutralSeedBall		"Seed Ball"
UnitNeutralThornBush		"Thorn Bush"
UnitNeutral			"Neutral Unit"

ColonyAnt			"Ant Colony"
ColonyBeetle			"Beetle Colony"
ColonyScorpion			"Scorpion Colony"
ColonySpider			"Spider Colony"
ColonyWasp			"Wasp Colony"

GMGameInProgress		"Game In Progress . . ."
GMGameOver			"Game Over"
GMCasualties			"Casualties"
GMColonyTakeovers		"Colony Takeovers"
GMTotal				"Total"
GMTime				"Time"
GMVolume			"Volume"
GMContinue			"Continue"
GMEndGame			"End Game"
GMExitToSystem			"Exit Program"
GMNextLevel			"Next Level"
GMRestart			"Restart"

MMPlayGame			"Play Game"
MMPlayCustomGame		"Play Custom Game"
MMCreateCustomGame		"Create Custom Game"
MMEditCustomGame		"Edit Custom Game"
MMCredits			"Credits"
MMExit				"Exit"
MMMakeMap			"Make Map"
MMSetupMap			"Setup Map"
MMSaveGame			"Save Custom Game As . . ."

__END__
