
All text in the game is loaded from here.  Make sure the 
translated text is in quotes and that no one string is
larger than 255 characters.

__BEGIN__

UnitAntSoldier			"Soldat"
UnitAntGrenadier		"Grenadier"
UnitAntBazooka			"Bazooka"
UnitAnt				"Ameisen Einheit"
UnitBeetleLadyBug		"Lady Kaefer"
UnitBeetleShrapnel		"Schrapnell"
UnitBeetleCannon		"Kanone"
UnitBeetle			"Kaefer Einheit"
UnitScorpionSavage		"Barbar"
UnitScorpionSpearGun		"Speer Kanone"
UnitScorpionNinja		"Ninja"
UnitScorpion			"Skorpion Einheit"
UnitSpiderBlackWidow		"Schwarze Witwe"
UnitSpiderSniper		"Heckenschuetze"
UnitSpiderMissile		"Rakete"
UnitSpider			"Spinnen Einheit"
UnitWaspAssault			"Angriff"
UnitWaspParalysis		"Paralysis"
UnitWaspSonic			"Sonic"
UnitWasp			"Wespen Einheit"
UnitNeutralBullAnt		"Bullen Ameise"
UnitNeutralGrenadier		"Grenadier"
UnitNeutralDragonfly		"Drachenfliege"
UnitNeutralFly			"Wuestenfliege"
UnitNeutralFlyingMachine	"Flug Maschine"
UnitNeutralFreckle		"Choc Freckle"
UnitNeutralLolly		"Todes Lolly"
UnitNeutralMoth			"Wurmmotte"
UnitNeutralPopcorn		"Popcorn Pflanze"
UnitNeutralSeedBall		"Samenball"
UnitNeutralThornBush		"Dornenbusch"
UnitNeutral			"Neutrale Einheit"

ColonyAnt			"Ameisen Kolonie"
ColonyBeetle			"Kaefer Kolonie"
ColonyScorpion			"Skorpion Kolonie"
ColonySpider			"Spinnen Kolonie"
ColonyWasp			"Wespen Kolonie"

GMGameInProgress		"Spiel ist im Gange . . ."
GMGameOver			"Ende"
GMCasualties			"Verlorene Einheiten"
GMColonyTakeovers		"Eroberte Kolonien"
GMTotal				"Total"
GMTime				"Zeit"
GMVolume			"Lautstaerke"
GMContinue			"Weiter"
GMEndGame			"Spiel beenden"
GMExitToSystem			"Programm beenden"
GMNextLevel			"Naechster Level"
GMRestart			"Neustart"

MMPlayGame			"Spiel starten"
MMPlayCustomGame		"Eigenen Level spielen"
MMCreateCustomGame		"Level erstellen"
MMEditCustomGame		"Level bearbeiten"
MMCredits			"Credits"
MMExit				"Ende"
MMMakeMap			"Erstellen"
MMSetupMap			"Setup"
MMSaveGame			"Eigenen Level speichern unter . . ."

__END__
